Hidden Units,Learning Rate,Error
10,0.9,0.9999878155818972
10,0.8,0.9999984003789767
10,0.7,1.0000361165460228
10,0.6,1.0000015500460289
10,0.5,1.0000375156733805
10,0.4,1.0000139278772027
10,0.3,1.0000140411174667
10,0.2,1.0000187330497083
10,0.1,1.00002151355324
20,0.9,1.0000026007568297
20,0.8,0.9999911590716135
20,0.7,1.0000080848727795
20,0.6,0.9999753464753375
20,0.5,1.000004835534689
20,0.4,1.0000122341073687
20,0.3,0.9999813647969364
20,0.2,1.0001172577582063
20,0.1,1.0000354885872933
30,0.9,1.0001055478450591
30,0.8,0.9999972952914946
30,0.7,1.00003716253451
30,0.6,1.000045567322865
30,0.5,1.0000262037139263
30,0.4,1.0002546787903215
30,0.3,1.0000146484135166
30,0.2,1.0001009360174924
30,0.1,1.0000299175881808
40,0.9,1.000061311610649
40,0.8,1.0000087030681342
40,0.7,1.0000572648964812
40,0.6,1.000017370561165
40,0.5,0.9999895025018595
40,0.4,1.0000097159328525
40,0.3,1.0001969345349127
40,0.2,1.0002956080329977
40,0.1,1.0000434542025878
50,0.9,1.0000357246169689
50,0.8,1.0000284627903466
50,0.7,0.9999895644678134
50,0.6,1.0000374375754124
50,0.5,1.0000712241141707
50,0.4,1.000010445940269
50,0.3,1.0000210309415236
50,0.2,1.0000159301797882
50,0.1,1.0003776938681188
60,0.9,1.000066812832917
60,0.8,0.9999833116182208
60,0.7,0.9999822069243698
60,0.6,1.0001094588676074
60,0.5,1.000185058790212
60,0.4,1.0002789939037833
60,0.3,1.0000269105183488
60,0.2,1.0001056165731492
60,0.1,1.000104006955504
